,Total Employees,Tech/No Tech,Tech Role,MH Benefits,Awareness of Company MH Care,Formal MH Discussion,MH Resources,Anonymity,Medical Leave,MH Negative Impact,PH Negative Impact,Telling Coworkers,Telling Supervisors,MH PH Equal,Observed Negative Impact,Previous Employers,PH Potential Employer,MH Potential Employer,MH Identification Career Harm,Negative Impact Coworkers,Sharing w/ Family/Friends,Prev Observed Unsupportive Response,MH Family History,Past Mental Disorder,Current Mental Disorder,Professional Diagnosis,Sought Treatment,MH Interference Treatment,MH Interference No Treatment,Age,Gender,Country,State,Position,Remote
320,2,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,5,Maybe,Maybe,Maybe,No,I don't know,Yes,1,No,No,Yes,Maybe,Somewhat open,Maybe,No,No,No,No,1,Not applicable to me,Not applicable to me,3,Female,Canada,9,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Never
321,3,1.0,1.0,Yes,Yes,No,No,Yes,2,No,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Somewhat open,Yes,Yes,No,Yes,Yes,1,Sometimes,Often,2,Female,Canada,9,Designer,Never
322,2,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,4,Maybe,No,Yes,Yes,Yes,No,1,Maybe,No,Yes,Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,4,Female,Canada,9,Sales,Sometimes
323,2,1.0,1.0,Yes,Yes,No,No,I don't know,3,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Very open,Yes,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Female,Canada,9,Designer,Sometimes
324,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,0,No,No,Maybe,Maybe,I don't know,No,1,Yes,No,Maybe,Maybe,Somewhat not open,Maybe,Yes,Maybe,Maybe,No,0,Sometimes,Sometimes,2,Female,Canada,9,Other,Never
325,2,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,Yes,Maybe,Somewhat open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,5,Female,Canada,9,Executive Leadership,Sometimes
326,2,1.0,1.0,Yes,No,Yes,No,I don't know,3,No,No,Maybe,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,No,Yes,Yes,Yes,1,Often,Often,2,Male,Canada,9,Other,Never
327,4,1.0,1.0,Not eligible for coverage / N/A,No,No,I don't know,I don't know,4,Maybe,No,No,No,I don't know,No,1,Yes,No,Yes,Yes,Somewhat not open,Maybe,Yes,No,No,No,1,Not applicable to me,Not applicable to me,3,Male,Other,9,Other,Always
328,3,1.0,1.0,No,I am not sure,No,No,I don't know,4,Yes,Maybe,No,No,I don't know,No,0,Yes,Maybe,Yes,Yes,Neutral,I am not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Back-end Developer,Never
329,3,0.0,0.0,I don't know,No,No,I don't know,I don't know,4,Yes,No,Maybe,Yes,I don't know,No,1,No,No,Yes,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,5,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
331,3,1.0,1.0,Yes,I am not sure,No,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,No,Maybe,Maybe,Somewhat not open,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Often,3,Female,USA,5,Other,Sometimes
332,3,1.0,1.0,Yes,No,No,No,I don't know,5,Yes,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat not open,No,I don't know,Maybe,Maybe,No,1,Not applicable to me,Often,2,Male,Canada,9,Front-end Developer,Never
333,5,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,Maybe,No,Yes,Maybe,Yes,No,0,Yes,Maybe,Maybe,Maybe,Somewhat open,No,Yes,Maybe,Maybe,No,1,Sometimes,Often,2,Male,UK,9,Designer,Always
334,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Very open,Maybe,Yes,Yes,Maybe,Yes,1,Sometimes,Often,2,Male,USA,7,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always
335,6,1.0,1.0,Yes,I am not sure,No,No,I don't know,2,No,No,Maybe,Yes,No,No,1,Yes,Yes,No,Maybe,Somewhat not open,Yes,Yes,Maybe,Maybe,No,0,Rarely,Often,4,Male,USA,2,Dev Evangelist/Advocate,Always
336,3,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,0,Yes,Maybe,No,No,Somewhat open,I am not sure,No,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,6,Front-end Developer|Supervisor/Team Lead,Sometimes
338,3,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Somewhat open,Yes,Yes,Yes,Yes,Yes,0,Rarely,Often,2,Female,USA,6,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes
339,1,1.0,1.0,Yes,Yes,No,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,No,Very open,No,No,Yes,Yes,Yes,1,Rarely,Sometimes,3,Male,Netherlands,9,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer|Front-end Developer,Sometimes
341,3,1.0,1.0,No,Yes,No,No,I don't know,4,No,No,Maybe,Maybe,I don't know,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Yes,No,Yes,Yes,Yes,1,Sometimes,Often,4,Male,USA,3,DevOps/SysAdmin,Sometimes
342,2,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,No,No,No,Somewhat open,Yes,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
343,4,1.0,1.0,I don't know,No,No,No,I don't know,1,No,No,No,No,I don't know,No,1,No,No,No,No,Somewhat not open,Maybe,No,No,Maybe,No,1,Not applicable to me,Sometimes,3,Male,Germany,9,Back-end Developer,Never
344,4,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,Maybe,No,Somewhat open,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,USA,5,Other,Always
345,6,0.0,0.0,I don't know,No,No,No,I don't know,4,Maybe,No,No,Yes,No,No,1,Maybe,No,Yes,Maybe,Somewhat not open,Yes,I don't know,Yes,Yes,Yes,1,Never,Sometimes,4,Female,USA,4,DevOps/SysAdmin|Back-end Developer,Always
346,6,1.0,1.0,No,No,No,No,No,2,Maybe,No,No,No,I don't know,No,0,Maybe,Maybe,Yes,Maybe,Somewhat open,I am not sure,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
347,2,1.0,1.0,I don't know,No,No,I don't know,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,No,Somewhat open,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,2,Supervisor/Team Lead,Never
348,3,1.0,1.0,Yes,I am not sure,No,No,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,No,Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,5,Other,Sometimes
349,4,1.0,1.0,Yes,I am not sure,No,No,I don't know,1,Maybe,No,Yes,Yes,I don't know,No,1,Maybe,No,Maybe,No,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Male,USA,5,Full track,Sometimes
350,5,1.0,1.0,I don't know,No,No,I don't know,I don't know,0,Maybe,No,Maybe,Maybe,No,No,1,No,No,Maybe,Yes,Neutral,No,No,No,Maybe,No,0,Not applicable to me,Often,3,Male,USA,2,Dev Evangelist/Advocate|DevOps/SysAdmin,Always
351,4,1.0,1.0,I don't know,No,No,No,I don't know,4,Maybe,No,Maybe,No,No,No,0,Maybe,No,Yes,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Germany,9,Back-end Developer,Never
352,1,1.0,1.0,Yes,I am not sure,No,I don't know,No,3,No,No,Maybe,Yes,I don't know,No,1,Maybe,No,Yes,Maybe,Somewhat open,Yes,I don't know,Maybe,No,No,1,Sometimes,Sometimes,5,Male,USA,1,Support|Back-end Developer|Front-end Developer,Never
355,6,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,4,No,No,Yes,Yes,I don't know,No,1,No,No,Maybe,No,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Male,USA,5,DevOps/SysAdmin|Support,Sometimes
356,4,1.0,1.0,I don't know,No,No,Yes,Yes,0,Yes,Maybe,No,No,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat not open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,5,Dev Evangelist/Advocate|Back-end Developer|Designer|Front-end Developer,Always
357,3,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Very open,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Female,USA,6,Supervisor/Team Lead|Back-end Developer,Sometimes
358,4,1.0,1.0,Yes,Yes,No,No,I don't know,4,Yes,No,No,No,No,No,1,Maybe,No,Yes,Yes,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,1,Supervisor/Team Lead,Never
359,4,1.0,1.0,Yes,I am not sure,No,No,I don't know,0,Yes,Maybe,No,Maybe,I don't know,No,1,No,No,Yes,Yes,Neutral,Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,2,Male,USA,1,Back-end Developer,Always
361,5,1.0,1.0,Yes,No,No,I don't know,I don't know,2,Maybe,Maybe,Yes,Yes,I don't know,No,1,No,No,Yes,Maybe,Very open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Female,USA,7,Back-end Developer,Always
362,4,1.0,1.0,No,No,No,No,I don't know,4,Yes,No,Maybe,Maybe,No,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,2,Other,Sometimes
363,4,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,No,No,Maybe,Maybe,No,No,1,No,No,No,No,Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,2,Male,USA,4,Other|Dev Evangelist/Advocate|Sales|Back-end Developer|Front-end Developer,Sometimes
364,4,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Maybe,No,Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,3,DevOps/SysAdmin|Dev Evangelist/Advocate|Supervisor/Team Lead|Executive Leadership,Always
365,4,1.0,1.0,Yes,I am not sure,Yes,Yes,Yes,2,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,No,Somewhat not open,Maybe,No,Yes,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,2,Support,Always
366,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,0,Maybe,No,Yes,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,UK,9,One-person shop,Sometimes
367,4,1.0,1.0,Yes,No,Yes,Yes,I don't know,0,Maybe,Yes,Yes,Maybe,Yes,No,1,Yes,Yes,Maybe,Maybe,Very open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Female,USA,1,Back-end Developer,Sometimes
368,2,1.0,1.0,Yes,I am not sure,No,No,Yes,2,Maybe,Maybe,Maybe,Maybe,Yes,No,1,No,No,No,Maybe,Very open,No,No,Yes,No,Yes,1,Rarely,Rarely,3,Male,USA,2,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer,Sometimes
369,3,1.0,1.0,I don't know,No,No,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,2,Support|Back-end Developer,Always
370,5,1.0,1.0,Yes,Yes,I don't know,I don't know,Yes,2,Maybe,Maybe,Maybe,Yes,Yes,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Yes,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,3,Female,USA,1,Supervisor/Team Lead,Sometimes
371,2,1.0,1.0,I don't know,I am not sure,No,No,Yes,3,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,Canada,9,HR|Supervisor/Team Lead|Executive Leadership,Sometimes
372,2,1.0,1.0,Yes,No,No,I don't know,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,No,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Other,USA,6,Supervisor/Team Lead,Sometimes
375,3,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,0,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Canada,9,Full track,Always
376,5,1.0,1.0,I don't know,No,Yes,No,I don't know,1,Maybe,No,No,No,Yes,No,0,No,No,Maybe,No,Somewhat not open,No,No,Maybe,No,No,0,Never,Rarely,2,Female,Other,9,Other,Sometimes
377,3,1.0,1.0,Yes,Yes,No,Yes,Yes,3,Yes,Maybe,Maybe,Maybe,No,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Female,USA,1,Back-end Developer,Sometimes
379,6,0.0,0.0,Yes,I am not sure,Yes,Yes,Yes,0,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,No,No,Maybe,Somewhat open,Yes,Yes,Maybe,Maybe,No,1,Not applicable to me,Sometimes,2,Female,Australia,9,Other,Never
380,3,1.0,1.0,No,No,No,No,No,2,Yes,Maybe,Yes,Maybe,No,Yes,1,Yes,Yes,Yes,Maybe,Very open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Male,Netherlands,9,Back-end Developer,Never
381,6,0.0,0.0,Yes,Yes,Yes,Yes,I don't know,2,No,No,Maybe,Yes,Yes,No,1,Maybe,No,Yes,Maybe,Very open,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,1,DevOps/SysAdmin,Sometimes
382,4,1.0,1.0,Yes,I am not sure,Yes,Yes,Yes,1,No,No,Maybe,Yes,I don't know,No,1,No,No,Yes,Yes,Somewhat open,Maybe,Yes,Yes,Yes,No,1,Rarely,Sometimes,2,Female,USA,1,Back-end Developer,Sometimes
383,3,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Maybe,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat open,Yes,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,1,Dev Evangelist/Advocate,Sometimes
384,1,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,4,Yes,Maybe,No,No,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,2,Female,Australia,9,Front-end Developer,Sometimes
385,5,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,Maybe,No,Maybe,No,No,No,1,Maybe,No,Maybe,Yes,Somewhat open,Maybe,Yes,Yes,Maybe,Yes,1,Sometimes,Often,3,Male,USA,1,Other,Always
388,6,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Yes,Yes,Maybe,No,No,No,1,No,No,Yes,Yes,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Female,USA,2,Back-end Developer,Sometimes
389,4,1.0,1.0,Yes,Yes,No,I don't know,I don't know,1,No,No,Yes,Yes,I don't know,No,1,Yes,No,No,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,5,Back-end Developer,Sometimes
390,4,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,0,Yes,Yes,No,No,I don't know,No,1,No,No,Yes,Yes,Somewhat open,Yes,No,No,No,No,0,Never,Often,4,Female,USA,1,Sales,Sometimes
391,6,1.0,1.0,Yes,I am not sure,I don't know,Yes,Yes,2,Maybe,No,No,No,I don't know,No,0,Yes,No,Yes,Yes,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,7,Front-end Developer,Never
392,4,1.0,1.0,Yes,Yes,No,I don't know,I don't know,2,No,No,No,Yes,Yes,No,1,No,No,Yes,Maybe,Somewhat not open,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,8,DevOps/SysAdmin|Supervisor/Team Lead,Always
393,4,1.0,1.0,I don't know,No,No,Yes,I don't know,3,Maybe,No,No,Maybe,I don't know,Yes,1,No,No,Yes,Yes,Neutral,Yes,Yes,No,Maybe,No,0,Sometimes,Sometimes,3,Male,USA,1,Back-end Developer,Sometimes
394,5,1.0,1.0,I don't know,No,I don't know,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,1,No,Yes,No,No,Very open,No,I don't know,Yes,Yes,Yes,1,Not applicable to me,Often,3,Male,USA,2,Supervisor/Team Lead,Always
396,2,1.0,1.0,No,I am not sure,No,No,I don't know,2,No,No,No,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat not open,Yes,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,2,Female,UK,9,Sales,Sometimes
397,3,1.0,1.0,I don't know,No,Yes,I don't know,Yes,2,Maybe,Maybe,Maybe,No,Yes,No,0,Yes,No,Maybe,Yes,Somewhat not open,No,No,No,No,No,1,Not applicable to me,Not applicable to me,2,Male,Netherlands,9,Back-end Developer,Never
398,5,1.0,1.0,I don't know,I am not sure,Yes,Yes,I don't know,2,No,Maybe,Maybe,Maybe,Yes,No,1,Maybe,No,Maybe,No,Somewhat open,No,Yes,Yes,Yes,No,1,Never,Rarely,3,Male,USA,1,Dev Evangelist/Advocate,Sometimes
400,4,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,2,Maybe,No,Maybe,Maybe,I don't know,No,1,Yes,Maybe,Yes,No,Somewhat not open,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,1,Back-end Developer|DevOps/SysAdmin,Never
401,2,1.0,1.0,Yes,Yes,No,No,Yes,1,Maybe,No,No,Yes,Yes,No,1,No,No,Yes,No,Somewhat open,Yes,No,Maybe,Maybe,Yes,1,Rarely,Often,3,Male,USA,1,Back-end Developer,Sometimes
402,4,1.0,1.0,No,No,No,No,I don't know,2,Maybe,Maybe,Yes,Yes,I don't know,No,1,Maybe,Maybe,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,3,Male,UK,9,Support,Always
404,3,1.0,1.0,I don't know,No,Yes,No,I don't know,1,Yes,Maybe,Maybe,Maybe,Yes,No,1,Maybe,No,Yes,Yes,Somewhat open,No,Yes,Yes,Yes,Yes,1,Never,Often,3,Male,USA,1,Dev Evangelist/Advocate|Support|Back-end Developer,Always
405,3,0.0,0.0,No,I am not sure,No,No,I don't know,1,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Maybe,Very open,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Front-end Developer,Always
407,4,1.0,1.0,Yes,Yes,No,I don't know,I don't know,0,Maybe,No,Maybe,Yes,No,No,1,No,No,Yes,Maybe,Neutral,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,6,Supervisor/Team Lead|Back-end Developer,Sometimes
408,4,1.0,1.0,Yes,No,No,No,I don't know,0,Maybe,No,No,No,I don't know,No,1,No,No,Yes,Maybe,Not applicable to me (I do not have a mental illness),Yes,Yes,Yes,No,Yes,1,Not applicable to me,Not applicable to me,3,Male,USA,1,Back-end Developer,Always
409,3,1.0,1.0,Yes,Yes,No,No,I don't know,2,No,No,Yes,Maybe,I don't know,No,0,No,No,Maybe,No,Somewhat open,No,No,No,Yes,Yes,1,Never,Often,2,Male,USA,4,Full track,Sometimes
410,4,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,Maybe,Maybe,No,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Neutral,No,I don't know,Yes,Yes,No,0,Never,Rarely,2,Male,USA,1,Back-end Developer,Sometimes
411,6,1.0,1.0,Yes,I am not sure,Yes,I don't know,I don't know,0,Maybe,No,Maybe,Yes,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,3,Male,USA,1,Dev Evangelist/Advocate|DevOps/SysAdmin,Never
412,3,1.0,1.0,I don't know,I am not sure,No,No,I don't know,3,No,No,Maybe,Maybe,No,Yes,1,Maybe,No,Maybe,Maybe,Neutral,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,2,Female,UK,9,Designer,Never
414,3,1.0,1.0,Yes,I am not sure,Yes,I don't know,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,No,Maybe,Very open,No,No,Yes,No,No,1,Never,Sometimes,3,Male,Netherlands,9,Back-end Developer,Never
415,2,0.0,0.0,Yes,I am not sure,No,Yes,No,3,No,No,Yes,Yes,Yes,No,0,Maybe,Maybe,No,No,Somewhat open,No,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,3,Male,Netherlands,9,Front-end Developer|Back-end Developer|Support|DevOps/SysAdmin,Never
416,3,1.0,1.0,No,No,Yes,No,I don't know,5,No,No,Yes,Yes,Yes,No,1,Yes,No,Yes,No,Somewhat open,No,No,Yes,Yes,Yes,1,Sometimes,Sometimes,2,Female,Germany,9,Dev Evangelist/Advocate,Always
419,3,1.0,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,0,No,No,Maybe,Yes,I don't know,No,1,Yes,Maybe,Maybe,Maybe,Very open,No,Yes,Yes,Maybe,No,1,Not applicable to me,Sometimes,2,Male,Other,9,Back-end Developer,Always
420,3,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,0,Maybe,Maybe,Yes,Maybe,I don't know,No,1,Maybe,Maybe,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Other,Germany,9,Back-end Developer|DevOps/SysAdmin,Never
421,4,1.0,1.0,Yes,I am not sure,No,No,I don't know,4,No,No,Maybe,Maybe,No,No,1,No,No,Yes,Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,1,Back-end Developer,Never
422,4,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Yes,No,No,Not applicable to me (I do not have a mental illness),No,Yes,Yes,No,Yes,1,Rarely,Sometimes,3,Male,USA,1,Supervisor/Team Lead|Support,Sometimes
423,6,0.0,0.0,Yes,No,I don't know,Yes,I don't know,4,Maybe,Maybe,No,No,No,No,1,No,No,Maybe,Maybe,Somewhat not open,Yes,Yes,Yes,Yes,Yes,0,Not applicable to me,Sometimes,4,Male,USA,5,Supervisor/Team Lead,Sometimes
424,4,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,5,Maybe,Maybe,No,No,I don't know,No,1,No,No,Yes,Maybe,Not open at all,Yes,I don't know,Maybe,Maybe,Yes,1,Sometimes,Sometimes,4,Male,USA,1,Supervisor/Team Lead|Support,Sometimes
425,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,0,No,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,5,Back-end Developer,Sometimes
426,6,1.0,1.0,Yes,Yes,Yes,Yes,Yes,0,Maybe,No,No,No,I don't know,No,1,Yes,No,Yes,Maybe,Neutral,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,1,DevOps/SysAdmin,Sometimes
427,4,1.0,1.0,No,No,No,No,I don't know,0,Yes,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,1,Back-end Developer,Always
429,3,1.0,1.0,Yes,Yes,No,Yes,I don't know,3,Maybe,No,Maybe,No,No,No,1,Maybe,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Female,USA,1,HR|Dev Evangelist/Advocate|Sales,Sometimes
430,4,1.0,1.0,I don't know,No,I don't know,I don't know,I don't know,2,No,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Australia,9,Back-end Developer,Always
431,3,0.0,0.0,I don't know,I am not sure,No,No,I don't know,2,No,No,Maybe,Maybe,Yes,Yes,1,Yes,Maybe,Maybe,Yes,Somewhat not open,Maybe,Yes,Yes,Yes,No,1,Rarely,Sometimes,2,Male,Netherlands,9,DevOps/SysAdmin|Back-end Developer,Never
432,4,1.0,1.0,I don't know,I am not sure,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Maybe,No,No,No,Somewhat open,No,No,No,No,No,1,Not applicable to me,Not applicable to me,3,Male,UK,9,Back-end Developer|Dev Evangelist/Advocate|Supervisor/Team Lead,Sometimes
434,4,1.0,1.0,No,I am not sure,No,No,Yes,0,Maybe,No,Maybe,No,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat not open,Maybe,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,3,Male,UK,9,Executive Leadership,Sometimes
435,4,1.0,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Very open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,UK,9,Back-end Developer|DevOps/SysAdmin,Sometimes
436,5,1.0,1.0,No,No,No,No,I don't know,2,No,No,Maybe,Yes,I don't know,No,1,Yes,No,Maybe,No,Somewhat open,No,No,Yes,No,Yes,1,Sometimes,Often,3,Male,Other,9,Supervisor/Team Lead,Sometimes
437,3,0.0,0.0,No,No,No,No,I don't know,4,Maybe,No,No,Yes,No,Yes,1,Maybe,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,UK,9,Supervisor/Team Lead|Front-end Developer|Back-end Developer,Never
438,3,1.0,1.0,Yes,No,No,I don't know,Yes,3,Maybe,Maybe,Yes,Maybe,I don't know,No,1,Maybe,Maybe,Yes,Yes,Not open at all,Yes,Yes,Maybe,Maybe,No,1,Sometimes,Sometimes,4,Male,USA,3,Back-end Developer,Always
439,4,1.0,1.0,Yes,No,I don't know,No,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,1,Back-end Developer,Sometimes
